04450000	Abby Kelley Foster Charter Public (District)
00010000	Abington
04120000	Academy Of the Pacific Rim Charter Public (District)
06000000	Acton-Boxborough
00030000	Acushnet
04300000	Advanced Math and Science Academy Charter (District)
00050000	Agawam
04090000	Alma del Mar Charter School (District)
00070000	Amesbury
04150000	Amesbury Academy Charter Public (District)
00080000	Amherst
06050000	Amherst-Pelham
00090000	Andover
35090000	Argosy Collegiate Charter School (District)
00100000	Arlington
06100000	Ashburnham-Westminster
06120000	Ashfield-Plainfield Reg
00140000	Ashland
08010000	Assabet Valley Regional Vocational Technical
06150000	Athol-Royalston
04910000	Atlantis Charter (District)
00160000	Attleboro
00170000	Auburn
00180000	Avon
06160000	Ayer Shirley School District
00200000	Barnstable
04270000	Barnstable Community Horace Mann Charter Public (District)
04230000	Barnstable Horace Mann Charter (District)
35020000	Baystate Academy Charter Public School (District)
00230000	Bedford
00240000	Belchertown
00250000	Bellingham
00260000	Belmont
04200000	Benjamin Banneker Charter Public (District)
04470000	Benjamin Franklin Classical Charter Public (District)
35110000	Bentley Academy Charter School (District)
00270000	Berkley
04140000	Berkshire Arts and Technology Charter Public (District)
06180000	Berkshire Hills
06200000	Berlin-Boylston
00300000	Beverly
00310000	Billerica
08050000	Blackstone Valley Regional Vocational Technical
06220000	Blackstone-Millville
08060605	Blue Hills Regional Vocational Technical
00350000	Boston
04490000	Boston Collegiate Charter (District)
04240000	Boston Day and Evening Academy Charter (District)
04110000	Boston Green Academy Horace Mann Charter School (District)
04160000	Boston Preparatory Charter Public (District)
04810000	Boston Renaissance Charter Public (District)
04250000	Boston University Charter
00360000	Bourne
00380000	Boxford
00400000	Braintree
00410000	Brewster
04170000	Bridge Boston Charter School (District)
06250000	Bridgewater-Raynham
00430000	Brimfield
09100000	Bristol County Agricultural
08100000	Bristol-Plymouth Regional Vocational Technical
00440000	Brockton
04280000	Brooke Charter School (District)
04570000	Brooke Charter School East Boston (District)
04430000	Brooke Charter School Mattapan (District)
00440010	Brookfield
00460000	Brookline
06300000	Buckland Colrain Shelburn Regional
00480000	Burlington
00490000	Cambridge
00500000	Canton
04320000	Cape Cod Lighthouse Charter (District)
08150000	Cape Cod Regional Vocational Technical
00510000	Carlisle
00520000	Carver
06350000	Central Berkshire
04340000	Champion Charter (District)
00560000	Chelmsford
00570000	Chelsea
06320000	Chesterfield-Goshen
00610000	Chicopee
04180000	Christa McAuliffe Charter School (District)
04370000	City on a Hill Charter Public School (District)
35040000	City on a Hill Charter Public School Dudley Square (District)
35070000	City on a Hill Charter Public School New Bedford (District)
00630000	Clarksburg
00640000	Clinton
04380000	Codman Academy Charter Public (District)
00650000	Cohasset
35030000	Collegiate Charter School of Lowell (District)
04360000	Community Charter School of Cambridge (District)
04260000	Community Day Charter Public School - Gateway (District)
04310000	Community Day Charter Public School - R. Kingman Webster (District)
04400000	Community Day Charter Public School (District)
00670000	Concord
06400000	Concord-Carlisle
04390000	Conservatory Lab Charter (District)
00680000	Conway
00710000	Danvers
00720000	Dartmouth
00730000	Dedham
00740000	Deerfield
06450000	Dennis-Yarmouth
06500000	Dighton-Rehoboth
04750000	Dorchester Collegiate Academy Charter (District)
00770000	Douglas
00780000	Dover
06550000	Dover-Sherborn
00790000	Dracut
04070000	Dudley Street Neighborhood Charter School (District)
06580000	Dudley-Charlton Reg
00820000	Duxbury
00830000	East Bridgewater
00870000	East Longmeadow
00850000	Eastham
00860000	Easthampton
00880000	Easton
00890000	Edgartown
04520000	Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District)
00910000	Erving
09130000	Essex Agricultural Technical
08170000	Essex North Shore Agricultural and Technical School District
00930000	Everett
04100000	Excel Academy Charter (District)
04590000	Excel Academy Charter School - Boston II (District)
04610000	Excel Academy Charter School - Chelsea (District)
00940000	Fairhaven
00950000	Fall River
00960000	Falmouth
06620000	Farmington River Reg
00970000	Fitchburg
00980000	Florida
04130000	Four Rivers Charter Public (District)
00990000	Foxborough
04460000	Foxborough Regional Charter (District)
01000000	Framingham
04780000	Francis W. Parker Charter Essential (District)
01010000	Franklin
08180000	Franklin County Regional Vocational Technical
04420000	Frederick Douglass Charter (District)
06650000	Freetown-Lakeville
06700000	Frontier
02920015	Gardner
06720000	Gateway
01050000	Georgetown
06740000	Gill-Montague
04960000	Global Learning Charter Public (District)
01070000	Gloucester
04480000	Gloucester Community Arts Charter (District)
01090000	Gosnold
01100000	Grafton
01110000	Granby
39010000	Greater Commonwealth Virtual District
08210000	Greater Fall River Regional Vocational Technical
08230000	Greater Lawrence Regional Vocational Technical
08280000	Greater Lowell Regional Vocational Technical
08250000	Greater New Bedford Regional Vocational Technical
01140000	Greenfield
06730000	Groton-Dunstable
04620000	Grove Hall Preparatory Charter School (District)
01170000	Hadley
01180000	Halifax
06750000	Hamilton-Wenham
04990000	Hampden Charter School of Science (District)
35160000	Hampden Charter School of Science West (District)
06800000	Hampden-Wilbraham
06830000	Hampshire
00440045	Hancock
01220000	Hanover
01250000	Harvard
01270000	Hatfield
01280000	Haverhill
06850000	Hawlemont
04190000	Helen Y. Davis Leadership Academy Charter Public (District)
04550000	Hill View Montessori Charter Public (District)
04500000	Hilltown Cooperative Charter Public (District)
01310000	Hingham
01330000	Holbrook
01350000	Holland
01360000	Holliston
01370000	Holyoke
04530000	Holyoke Community Charter (District)
06030000	Hoosac Valley Regional
01380000	Hopedale
01390000	Hopkinton
01410000	Hudson
01420000	Hull
04350000	Innovation Academy Charter (District)
03700000	Institutional Schools
01440000	Ipswich
06900000	King Philip
01450000	Kingston
04630000	KIPP Academy Boston Charter School (District)
04290000	KIPP Academy Lynn Charter (District)
00460030	Lawrence
04540000	Lawrence Family Development Charter (District)
04010000	Lawrence Vocational
04860000	Learning First Charter Public School (District)
01500000	Lee
01510000	Leicester
01520000	Lenox
01530000	Leominster
01540000	Leverett
01550000	Lexington
35140000	Libertas Academy Charter School (District)
01570000	Lincoln
06950000	Lincoln-Sudbury
01580000	Littleton
01590000	Longmeadow
01600000	Lowell
04560000	Lowell Community Charter Public (District)
04580000	Lowell Middlesex Academy Charter (District)
01610000	Ludlow
01620000	Lunenburg
01630000	Lynn
04600000	Lynn Community Charter
01640000	Lynnfield
04680000	Ma Academy for Math and Science
01650000	Malden
06980000	Manchester Essex Regional
