Track,Album Name,Artist,Release Date,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Explicit Track
I AM,I've IVE,IVE,4/10/2023,40.8,"269,067,890",20356,71.0,"256,133,933","2,369,761","53,293,582","473,159,481",0
Midnight Sky,Midnight Sky,Miley Cyrus,8/14/2020,40.8,"629,372,240",86326,66.0,"301,362,454","2,670,514","33,434,126","286,126,363",0
"Earth, Wind & Fire",HOW?,BOYNEXTDOOR,4/15/2024,40.8,"15,434,400",1054,,"51,593,380","370,143","983,067","4,691,841",0
Andrea,Un Verano Sin Ti,Bad Bunny,5/6/2022,40.7,"432,885,913",51912,71.0,"321,888,868","1,818,193","152,132,878","1,232,405,599",1
Ric Flair Drip (with Metro Boomin),Without Warning,Offset,10/30/2017,40.7,"1,506,766,477",257640,80.0,"392,508,024","2,837,908","16,735,833","127,112,835",1
Dï¿½ï¿½,Dï¿½ï¿½,Teya Dora,3/22/2023,40.7,"125,289,731",25929,65.0,"150,869,846","2,405,158","69,237,529","855,679,980",0
Going Bad (feat. Drake),Championships,Meek Mill,11/30/2018,40.7,"1,189,579,197",190095,73.0,"339,988,703","2,979,918","150,299,860","1,545,417,106",1
Tenho Que Me Decidir,O Cara Do Momento,MC PH,11/29/2023,40.7,"111,408,880",17345,,"92,538,511","602,552",,,1
Wunder,Wunder,AYLIVA,4/26/2024,40.7,"47,364,546",3863,77.0,"11,650,472","163,940",,,1
Safaera,YHLQMDLG,Bad Bunny,2/29/2020,40.7,"868,744,690",116275,70.0,"491,413,241","3,414,196","112,367,323","989,597,627",1
Baby,R&B Collection 2011,Justin Bieber,1/1/2010,40.7,"952,635,214",136655,76.0,"3,312,260,344","26,679,549","131,384,412","1,174,409,085",0
On BS,Her Loss,Drake,11/4/2022,40.7,"253,540,951",82934,67.0,"22,665,894","368,326","72,901,216","494,336,128",1
Love Again,Love Again,The Kid LAROI,1/27/2023,40.6,"215,466,975",44476,62.0,"28,993,149","455,224","3,567,265","65,897,455",0
LAGUNAS,LAGUNAS,Peso Pluma,6/22/2023,40.6,"301,396,080",23886,74.0,"85,636,375","455,525","29,951,984","232,731,548",1
Narcotics (with Bryant Myers),Narcotics (with Bryant Myers),Dei V,9/14/2023,40.6,"154,018,930",23281,73.0,"107,103,779","554,779","23,928,767","207,698,391",1
Linea del Perreo (feat. Dj Kiire),Linea del Perreo (feat. Dj Kiire) - Single,Uzielito Mix,12/12/2023,40.6,"99,086,405",7282,,"128,889,809","1,469,572",533,"7,595",1
24K Magic,24K Magic,Bruno Mars,10/7/2016,40.6,"1,425,996,809",175419,77.0,"181,151,693","1,671,253","115,712,320","968,641,395",0
The Feels,The Feels,TWICE,10/1/2021,40.5,"431,638,330",43727,66.0,"564,641,494","7,674,539","351,794,036","2,323,894,242",0
Someone Like You,21' Sampler,Adele,1/18/2011,40.5,"1,925,879,064",211527,75.0,"759,564,393","4,034,527","46,563,916","401,049,702",0
Oh U Went (feat. Drake),BUSINESS IS BUSINESS,Young Thug,6/23/2023,40.5,"112,624,663",43943,64.0,"23,464,236","338,591","3,366,841","39,562,107",1
Right Now (Feat. Crush),Right Now,Coogie,9/12/2023,40.5,"8,163,960",3228,,"15,456,128","110,317","66,774,561","651,176,298",0
Burn,VULTURES 1,Kanye West,2/9/2024,40.4,"147,150,985",20185,,"3,917,468","41,465",,,1
High Fashion (feat. Mustard),Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,40.3,"538,059,363",113736,65.0,"215,454,028","1,626,950","175,055,656","1,413,496,668",1
Ronald,Ronald,Falling In Reverse,5/7/2024,40.3,"17,589,316",3463,72.0,"11,826,358","390,500",,,1
We Paid (feat. 42 Dugg),My Turn (Deluxe),Lil Baby,2/28/2020,40.3,"417,634,388",128536,68.0,"507,681,327","3,069,325","24,869,947","174,604,275",1
Boss Bitch,Boss Bitch,Doja Cat,1/23/2020,40.3,"878,349,171",126275,70.0,"522,643,821","6,171,768","497,520,292","3,582,425,112",0
Ballena,Ballena,Vulgo FK,7/13/2023,40.3,"174,583,156",28303,66.0,"160,585,664","1,054,820","14,352,909","181,541,988",0
Locked Away (feat. Adam Levine),Locked Away,R. City,6/29/2015,40.3,"990,518,773",143056,75.0,"1,273,135,552","7,854,653","48,742,043","348,767,238",0
Tal Vez,Tal Vez,Paulo Londra,4/3/2019,40.3,"751,585,271",75691,67.0,"1,245,024,291","7,965,155","23,744,405","173,903,141",0
the remedy for a broken heart (why am I so in love),?,XXXTENTACION,3/16/2018,40.2,"959,078,765",142939,69.0,"402,582,220","5,401,876","96,702,547","955,370,530",1
Beautiful Mistakes (feat. Megan Thee Stallion),Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,3/3/2021,40.2,"730,200,775",93856,71.0,"313,682,727","2,530,483","7,430,636","79,067,338",0
Cynical,Cynical,twocolors,6/30/2023,40.2,"112,737,954",20339,41.0,"37,013,758","255,685","12,949","119,315",0
These Words,These Words,Badger,4/5/2024,40.2,"57,562,320",9301,78.0,"2,769,869","33,766",,,0
Robarte un Beso,Robarte un Beso,Carlos Vives,7/28/2017,40.2,"658,225,560",53101,72.0,"1,852,547,490","5,711,737","7,565,426","79,388,652",0
Vida Gangster,Vida Gangster,Lauty Gram,12/8/2022,40.2,"105,604,106",20571,56.0,"161,745,200","938,841","145,856,351","1,721,191,403",1
For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy,7/1/2022,40.1,"264,048,274",62386,65.0,"170,657,868","1,096,724","21,294,580","377,028,109",0
Cowgirls (feat. ERNEST),One Thing At A Time,Morgan Wallen,3/3/2023,40.1,"266,560,481",31680,81.0,"40,534,712","139,755","8,320,521","103,569,548",0
'Til You Can't,'Til You Canï¿½ï¿½ï¿½t / Longer Than S,Cody Johnson,6/11/2021,40.1,"258,769,609",48619,68.0,"145,224,400","822,234","11,065,564","116,117,655",0
Those Oldies but Goodies,Little Caesar and The Romans: The Extended Play Collection,Little Caesar & the Romans,7/22/2014,40.1,,42,,,,,,0
Dark Horse,The Top Music of the World,Katy Perry,11/27/2013,40.1,,8,,"3,738,385,281","17,685,730",,,0
Hass Hass,Hass Hass - Single,Diljit Dosanjh,10/27/2023,40.1,"106,514,756",10191,70.0,"148,785,957","1,400,528",982,"15,940",0
You Got It,You Got It,Vedo,3/6/2020,40.1,"378,584,974",56415,64.0,"116,036,942","1,608,398","663,072,442","5,568,445,890",1
LDR,LDR,Shoti,8/27/2022,40.1,"37,027,643",5646,57.0,"592,859,063","1,724,454","5,398,232","70,116,244",0
"Kaavaalaa (From ""Jailer"")","Kaavaalaa (From ""Jailer"")",Shilpa Rao,7/6/2023,40.0,"94,518,210",5151,61.0,"280,887,419","2,258,912","4,825,083","100,368,952",0
Me or Sum (feat. Future & Lil Baby),Me or Sum (feat. Future & Lil Baby) - Single,Nardo Wick,11/29/2021,40.0,"169,074,195",77071,59.0,"121,560,768","904,837","28,448,143","214,484,764",1
You're Welcome,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Dwayne Johnson,11/18/2016,40.0,"551,115,166",57721,66.0,"1,771,543,816","5,769,300","49,656,709","392,249,223",0
LA NOCHE DE ANOCHE,EL ï¿½ï¿½LTIMO TOUR DEL M,Bad Bunny,11/27/2020,39.9,"990,189,999",120639,71.0,"354,318,464","2,521,106","27,563,213","229,672,086",0
Fuk Sumn,VULTURES 1,Kanye West,2/9/2024,39.9,"120,079,689",21002,,"1,915,309","53,533","1,300,000","7,100,000",1
Billete Grande (En Vivo),Billete Grande (En Vivo),Fuerza Regida,8/2/2022,39.9,"309,329,645",30705,68.0,"368,079,858","1,155,888","36,054,151","375,768,071",0
Royals,The Love Club EP,Lorde,1/1/2012,39.8,"1,232,502,989",163195,73.0,"349,747,981","2,670,057","21,267,910","198,680,803",0
Charm,Charm (Sped Up),Rema,4/26/2023,39.8,"111,124,873",35929,65.0,"103,077,029","789,321","24,751,762","291,086,000",1
prove it,prove it,21 Savage,1/10/2024,39.8,"88,224,186",19035,,"22,896,192","261,389","1,800,000","9,100,000",1
Mon Amour - Remix,Mon Amour (Remix),zzoilo,8/18/2021,39.8,"689,939,531",101479,72.0,"83,908,765","706,081","172,282,438","1,903,513,450",0
Adan y Eva,Adan y Eva,Paulo Londra,11/5/2018,39.8,"915,772,593",85897,70.0,"1,320,370,692","7,869,990","13,302,015","107,834,415",0
No Lie,Dua Lipa (Complete Edition),Sean Paul,1/1/2015,39.8,"1,162,659,862",180669,76.0,"1,613,180,283","10,775,520","118,826,179","1,580,838,186",0
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,5/16/2023,39.8,"226,109,929",11941,66.0,"290,394,869","2,663,583",997,"19,132",0
10 Carros,10 Carros,Chefin,11/23/2023,39.8,"92,949,075",13213,,"120,775,698","1,007,986","427,521","2,569,410",1
The Astronaut,The Astronaut,JIN,10/28/2022,39.8,"422,186,660",12509,79.0,"111,977,553","5,607,295","60,752,690","296,725,035",0
Gogo Dance,SABIDURIA,El Alfa,4/7/2022,39.8,"122,568,157",29662,64.0,"208,114,605","1,550,438","817,858,920","9,097,455,103",1
Komang,Komang,Raim Laode,8/17/2022,39.8,"329,763,216",16110,70.0,"98,333,231","661,439","293,982,530","3,870,057,710",0
The Spectre,The Spectre,Alan Walker,9/15/2017,39.7,"428,110,164",67602,67.0,"1,517,036,583","14,141,233","157,496,340","1,924,971,468",0
ýýýýýýýýýýýýýýýýýý (feat. ýýýýýýýýý ýýýýýýýýýýýýýýý & GUNNER),ýýýýýýýýýýýýýýýýýý (feat. ýýýýýýýýý ýýýýýýýýýýýýýýý & GUNNER) - Single,Juepak,4/6/2024,39.7,"4,399,533",337,,"62,161,614","526,409",,,0
DARARI,THE SECOND STEP : CHAPTER ONE,TREASURE,2/15/2022,39.7,"224,285,122",23891,63.0,"171,821,740","3,263,544","181,066,454","1,829,158,410",0
Ferxxo 100,Ferxxo 100,Feid,6/3/2022,39.7,"444,613,276",56678,73.0,"328,723,503","1,532,631","13,349,051","179,088,549",0
No Te Quieren Conmigo,No Te Quieren Conmigo,Gaby Music,12/15/2023,39.7,"138,904,532",20215,,"39,976,674","388,349","11,307","90,800",0
More than you know,More than you know,NoSpace,7/25/2022,39.7,"2,030",5,2.0,"679,269,509","4,540,153",,,0
Shower,Crave Vol. 9 (Mixed By DJ Havana Brown),Becky G,1/1/2014,39.7,"809,840,469",110573,73.0,"550,108,518","5,249,510","356,438,722","2,999,189,391",0
B.O.T.A. (Baddest Of Them All) - Edit,B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose,6/15/2022,39.7,"325,902,688",119047,70.0,"1,958,012","26,829","15,284,294","127,015,419",0
Chatak Matak,Chatak Matak,Renuka Panwar,12/19/2020,39.7,"24,806,000",1588,54.0,"1,101,262,266","4,034,311","3,453,758","95,059,447",0
Cooped Up (with Roddy Ricch),Cooped Up,Post Malone,5/12/2022,39.6,"327,011,836",76622,62.0,"116,596,146","1,210,310","17,826,536","258,017,332",1
FRIENDS,Speak Your Mind,Marshmello,1/1/2015,39.6,"1,436,709,386",148480,70.0,"1,135,381,625","14,015,049","86,991,331","930,637,366",1
FINA,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,39.6,"226,576,178",32219,78.0,"37,510,571","455,214","10,845,422","92,737,977",1
Come back to me,Come back to me,RM,5/10/2024,39.6,"44,991,905",1389,84.0,"14,842,438","2,098,992",,,0
Whatsapp (Wassam),Whatsapp (Wassam),Gunna,5/3/2024,39.5,"20,011,325",3854,,"4,032,820","99,526","426,700","4,100,000",1
3:15 (Breathe),3:15 (Breathe),Russ,5/21/2021,39.5,"303,510,160",72865,72.0,"153,123,397","1,415,230","208,703,319","2,457,741,991",1
Love Me Again,Layover,V,8/11/2023,39.5,"626,153,696",13455,82.0,"95,442,324","4,491,977","54,975,210","335,526,234",0
Down Under (feat. Colin Hay),Down Under,Luude,11/19/2021,39.5,"315,606,874",125064,60.0,"43,371,856","337,831","79,193,751","952,538,696",0
Like That (feat. Gucci Mane),Hot Pink,Doja Cat,11/7/2019,39.5,"510,302,007",74416,66.0,"459,871,445","4,568,451","236,793,401","1,918,118,365",1
Control,Control,Zoe Wees,3/13/2020,39.5,"457,848,626",81641,66.0,"246,089,222","2,528,574","222,895,441","1,783,816,089",0
Push Up - Original Mix,Push Up - Single,Creeds,12/21/2022,39.4,"83,801,298",78156,58.0,"6,012,738","158,095","10,568,923","162,010,933",0
Novo Balanï¿½,Dos Prï¿½ï¿½dios De,Veigh,5/19/2023,39.4,"258,439,807",33493,69.0,"175,669,334","1,312,815",,,1
Dancin (feat. Luvli) - Krono Remix,Dancin (Krono Remix),Aaron Smith,11/7/2014,39.4,"856,908,437",163911,71.0,"937,887,038","8,642,499","210,711,962","2,116,323,580",0
Goosebumps - Remix,Goosebumps (Remix),Travis Scott,1/15/2021,39.4,"767,502,068",142094,70.0,"144,061,936","1,059,407","43,689,472","505,442,832",1
Die For You,SMITHEREENS,Joji,11/4/2022,39.4,"363,300,065",74276,71.0,"77,291,326","1,109,516","41,196,230","352,701,529",0
SC-9,SC-9,Yahir Saldivar,2/1/2024,39.3,"63,296,147",2994,64.0,"57,626,164","476,570","1,797,826","19,883,744",1
We Are Young (feat. Janelle Monï¿½ï¿½e) - feat. Janelle M,We Are Young (feat. Janelle Monï¿½ï,fun.,9/20/2011,39.3,"1,143,172,586",216588,72.0,"213,210,779","1,991,783","40,627,736","302,798,025",0
My Head & My Heart,Heaven & Hell,Ava Max,9/18/2020,39.3,"518,293,446",72376,69.0,"312,305,062","2,892,320","9,248,105","76,367,154",0
Accendio,IVE SWITCH,IVE,4/29/2024,39.2,"12,367,963",1027,72.0,"33,432,764","738,560",,,0
Deep End,Deep End,Fousheï¿,7/31/2020,39.2,"277,505,000",76388,56.0,"126,075,119","2,454,637","332,625,712","3,120,170,735",1
Loosing interest,Missing,Kurochuu,6/9/2024,39.2,"43,492,280",2,4.0,,,,,0
Turbo S,PISTOLER POESI OCH SEX,Yasin,2/28/2023,39.2,"2,109,876",1764,33.0,"435,442,321","3,682,385",89,"1,239",1
30 GRADOS RKT,30 GRADOS RKT,RUNE,6/8/2024,39.1,"50,652,672",2,,,,,,0
Mi Bello Angel,Nata Montana,Natanael Cano,6/30/2023,39.1,"349,522,530",23359,76.0,"146,063,277","734,128","9,061,160","55,484,022",1
Turks & Caicos (feat. 21 Savage),Nostalgia,Rod Wave,9/15/2023,39.1,"79,871,904",18919,,"29,393,085","165,299","2,695,609","12,375,164",1
Si Veo a Tu Mamï¿,YHLQMDLG,Bad Bunny,2/29/2020,39.1,"817,199,682",92013,70.0,"741,912,041","6,429,361","72,202,454","555,577,986",0
1-800-273-8255,1-800-273-8255,Logic,4/28/2017,39.0,"1,332,154,389",155866,67.0,"731,296,296","9,138,105","26,348,380","176,473,936",1
After Hours,After Hours,The Weeknd,2/19/2020,39.0,"942,637,026",146801,75.0,"335,729,967","2,785,787","65,547,896","663,247,978",0
Alibi (feat. Rudimental),Alibi (feat. Rudimental) - Single,Ella Henderson,1/12/2024,39.0,"78,096,380",7999,,"7,982,763","75,106",,,0
Everybody (feat. Lil Uzi Vert),Pink Friday 2,Nicki Minaj,12/8/2023,39.0,"114,947,522",20245,,"16,861,339","252,500",,,1
I LUV IT (feat. Playboi Carti),I LUV IT (feat. Playboi Carti),Camila Cabello,3/27/2024,38.9,"78,537,688",7391,,"15,545,498","390,430",,,1
The Middle,The Middle,Zedd,1/23/2018,38.9,"1,503,269,550",135666,72.0,"377,475,040","3,036,719","11,239,779","92,310,567",0
Doctor (Work It Out) [feat. Miley Cyrus],Doctor (Work It Out) - Single,Pharrell Williams,3/1/2024,38.9,"40,447,209",4358,,"20,161,600","421,776","215,200","4,614,000",0
Pompeii,Bad Blood (The Extended Cut),Bastille,1/1/2013,38.9,"1,590,278,292",259895,71.0,"892,426,661","6,706,344","72,385,788","587,669,621",0
Hymn For The Weekend - Seeb Remix,A Head Full Of Dreams,Coldplay,12/4/2015,38.9,"652,636,187",66904,62.0,"2,311,416,671","17,336,274","14,723,222","176,024,075",0
Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,10/16/2020,38.9,"820,172,575",119464,66.0,"236,628,412","5,627,099","26,272,592","261,554,607",1
Hold On,Hold On,Justin Bieber,3/5/2021,38.9,"749,776,475",98447,65.0,"255,815,308","3,672,693","27,478,023","250,017,692",0
Can't Hold Us - feat. Ray Dalton,The Heist,Macklemore & Ryan Lewis,10/9/2012,38.9,"2,397,109,372",287524,74.0,"1,554,258,622","11,301,317","75,080,554","715,739,402",0
I Like It,Invasion of Privacy,Cardi B,4/6/2018,38.8,"1,624,314,065",175421,72.0,"50,292,845","526,148","103,052,825","1,060,409,911",1
8 Parche,8 Parche,Baani Sandhu,9/12/2019,38.8,"96,829,196",9383,58.0,"1,058,000,530","6,138,968","56,260,142","840,026,921",0
Modo DND,Modo DND,Xavi,10/28/2023,38.8,"186,482,379",11318,,"123,373,203","596,064",,,1
THANK GOD,UTOPIA,Travis Scott,7/28/2023,38.8,"159,483,318",53828,68.0,"22,293,256","275,511","360,654","3,252,732",1
Home,Home,Edith Whiskers,10/16/2020,38.8,"382,143,321",98433,65.0,"97,046,738","1,206,503","1,773,657,538","12,626,614,888",0
The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),Young Thug,5/23/2019,38.8,"729,825,680",155380,62.0,"286,183,927","2,353,107","5,970,654","63,035,109",1
Si Te Pudiera Mentir,Simplemente Gracias,Calibre 50,8/16/2019,38.7,"497,062,969",39746,69.0,"1,089,614,100","3,109,366","63,170,710","774,581,354",0
One Of Your Girls,Something To Give Each Other,Troye Sivan,10/13/2023,38.7,"222,373,201",24491,,"31,161,634","637,860","63,927,414","568,978,171",0
Tell Em,Tell Em,Cochise,5/28/2021,38.7,"499,262,863",156928,70.0,"131,002,845","1,651,190","100,113,236","685,647,449",1
Close Eyes,Close Eyes,DVRST,2/1/2021,38.6,"495,840,131",118862,70.0,"387,463,291","5,208,321","241,463,961","2,643,309,542",1
Mr Pot Scraper,Mr Pot Scraper - Single,Bossman Dlow,2/23/2024,38.6,"19,565,712",3586,,"32,474,495","238,892","7,618,281","51,520,600",1
LA DURANGO,LA DURANGO,Peso Pluma,5/9/2024,38.6,"42,032,763",2684,79.0,"12,120,768","209,919",,,1
Please Me,Please Me,Cardi B,2/15/2019,38.6,"551,035,247",58065,70.0,"709,288,321","7,563,367","38,208,611","244,717,002",1
El Hijo Mayor,El Hijo Mayor - Single,Junior H,5/20/2022,38.6,"357,445,095",30881,71.0,"402,629,804","1,360,903","53,362,153","717,809,876",1
LA FAMA,LA FAMA (feat. The Weeknd) - Single,ROSALï¿½,11/11/2021,38.5,"459,476,092",79169,69.0,"301,677,718","2,245,842","38,358,977","399,821,879",0
TIL FURTHER NOTICE,UTOPIA,Travis Scott,7/28/2023,38.5,"133,152,051",55843,71.0,"10,008,757","138,349","964,979","7,150,381",1
"Poblado (feat. Crissin, Totoy El Frio & Natan & Shander) [Remix]",Poblado (Remix),J Balvin,6/18/2021,38.5,"347,951,927",60696,61.0,"597,413,972","2,596,959","6,485,132","91,298,035",0
LOKERA,LOKERA,Rauw Alejandro,7/25/2022,38.5,"656,416,971",74344,75.0,"58,769,088","325,798","109,562,958","1,039,707,434",1
cardigan,folklore,Taylor Swift,7/24/2020,38.4,"1,307,283,069",94169,80.0,"250,157,022","3,792,791","374,412,871","2,941,268,049",0
See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",7/21/2017,38.4,"1,610,423,351",283537,84.0,"345,975,070","4,492,100","153,478,678","832,654,007",1
Amanece,Amanece,Anuel AA,12/14/2018,38.4,"784,096,553",80071,77.0,"979,304,024","4,295,929","8,119,129","98,951,834",0
Popular,Popular,The Weeknd,2/22/2024,38.4,"811,545,581",1,,,,,,1
King Shit,Leo,Shubh,1/5/2024,38.4,"84,030,576",4988,71.0,"107,773,139","1,537,321",,,0
LA INOCENTE,Microdosis,Mora,4/1/2022,38.4,"736,983,718",92256,76.0,"97,778,011","619,019","74,611,902","559,279,404",1
Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,5/1/2020,38.3,"763,384,135",200270,72.0,"182,844,852","1,503,848","958,715","5,371,997",1
Johnny Dang (with Paul Wall & DRODi),Johnny Dang (with Paul Wall & DRODi),That Mexican OT,5/26/2023,38.3,"128,049,237",42334,68.0,"66,669,093","735,494","19,391,143","184,180,412",1
S-Class,5-STAR,Stray Kids,6/2/2023,38.3,"207,857,363",14268,70.0,"202,184,485","3,376,954","290,304,541","1,571,240,092",0
GASLIGHT,GASLIGHT,INJI,4/14/2022,38.3,"17,756,452",8421,48.0,"1,602,919","27,727","260,882,262","5,068,567,775",1
Die Young (feat. 347aidan),Die Young (feat. 347aidan),Sleepy Hallow,5/25/2022,38.3,"245,406,516",75951,60.0,"53,569,545","636,003","11,956,224","85,005,540",1
Vente Pa' Ca,Vente Pa' Ca,Ricky Martin,9/22/2016,38.2,"613,961,293",57564,66.0,"2,008,509,134","5,299,342","59,964,525","416,104,248",0
Can't Tame Her,Can't Tame Her,Zara Larsson,1/26/2023,38.2,"159,051,363",31456,62.0,"36,559,555","374,415","13,209,435","214,685,378",0
VIBEZ,KIRK,DaBaby,9/27/2019,38.2,"432,315,500",95756,59.0,"161,619,855","1,879,161","146,241,546","1,119,929,038",1
I Don't Fuck With You,I Don't Fuck With You,Big Sean,9/19/2014,38.2,"781,790,448",135134,67.0,"426,579,083","3,923,819","21,153,140","186,021,426",1
Se Grita,Reinsertado,Morad,5/12/2023,38.2,"142,131,977",47009,69.0,"81,587,375","506,426","28,652,947","274,170,598",1
HYAENA,UTOPIA,Travis Scott,7/28/2023,38.2,"137,071,285",47247,68.0,"16,951,175","234,706","740,328","5,731,192",1
KICK BACK,KICK BACK,Kenshi Yonezu,10/12/2022,38.2,"360,816,226",61627,70.0,"171,459,970","1,769,697","120,113,199","1,353,881,739",0
M.A.I,111,Milo j,11/30/2023,38.2,"163,958,167",12417,76.0,"86,105,258","868,068","327,781","1,805,126",0
Tu hai kahan,Tu hai kahan,AUR,6/10/2023,38.2,"218,471,293",16445,72.0,"218,599,817","4,720,491",,,0
Danza Kuduro - Cover,WORK OUT MUSIC MIX,WORK OUT GYM - DJ MIX,10/20/2023,38.1,"1,642,258,500",9,,,,,,1
Truth or Dare,TYLA,Tyla,12/1/2023,38.1,"91,143,676",13407,77.0,"31,174,494","570,689","8,970,312","95,419,062",0
Just the Way You Are,Just The Way You Are,Bruno Mars,7/20/2010,38.1,"2,099,862,852",233719,79.0,"2,218,318,671","10,649,958","48,743,057","411,934,018",0
Rasputin,Rasputin,Majestic,2/26/2021,38.1,"613,000,788",152363,73.0,"68,681,033","645,892","88,996","1,560,809",0
Say It Right (Dance),"This Is MELON, Vol. 1 (Dance)",MELON,2/24/2023,38.1,"3,119,521",560,30.0,"436,426,901","1,220,159",,,0
If the World Was Ending - feat. Julia Michaels,If the World Was Ending (feat. Julia Michaels),JP Saxe,10/17/2019,38.1,"1,145,402,792",134427,69.0,"96,493,850","756,954","147,160,931","947,802,755",0
"How Far I'll Go - From ""Moana""","How Far I'll Go (From ""Moana"")",Alessia Cara,10/28/2016,38.1,"740,261,910",49852,58.0,"341,087,439","2,812,967","5,148,211","26,579,876",0
ýýýýýýýýýýýý,Bibbidiba - Single,Hoshimachi Suisei,3/23/2024,38.1,"21,255,074",1754,70.0,"60,877,749","97,240","553,713","5,326,500",0
Heartless,Heartless,The Weeknd,11/27/2019,38.0,"975,754,682",137196,73.0,"222,977,264","2,542,926","30,592,047","210,080,661",1
Upa Cavalinho,"Galinha Pintadinha, Vol. 4",Galinha Pintadinha,7/1/2014,38.0,"13,615,330",1140,49.0,"3,024,886,279","7,956,355","6,854,117","112,054,234",0
Show Time,Show Time,SUPER JUNIOR,6/11/2024,38.0,,31,39.0,"3,657,483","57,391",,,0
Mirrors,Songs For The Philippines,Justin Timberlake,1/1/2013,38.0,"1,047,154,254",168622,74.0,"1,401,802,614","7,138,440","259,542,276","2,060,063,173",0
we fell in love in october,we fell in love in october / October Passed Me By,girl in red,1/1/2018,38.0,"1,034,272,727",201381,77.0,"235,190,444","4,584,548","313,991,722","2,226,783,393",0
Sorry Not Sorry,Sorry Not Sorry,Demi Lovato,7/11/2017,38.0,"1,156,601,592",78398,67.0,"782,935,937","6,789,404","39,636,079","278,587,450",1
X ESO BB,X ESO BB,Jere Klein,8/10/2023,38.0,"124,155,654",18514,66.0,"172,727,223","201,753",,,1
Where Did You Go? (feat. MNEK),Where Did You Go?,Jax Jones,1/26/2022,38.0,"389,547,230",65208,70.0,"50,898,391","293,996","6,446,277","124,607,839",0
The Lazy Song,Doo-Wops & Hooligans,Bruno Mars,10/5/2010,37.9,"950,810,060",151801,72.0,"2,903,165,526","16,099,406","89,468,350","852,185,637",0
Sex Sounds,True 2 Myself,Lil Tjay,10/11/2019,37.9,"413,974,601",110016,69.0,"157,947,172","1,678,467","57,769,616","438,050,984",1
Despuï¿½ï¿½s de la P,Un Verano Sin Ti,Bad Bunny,5/6/2022,37.9,"542,751,537",67763,71.0,"195,610,806","1,623,280","87,866,614","803,525,888",0
Asiwaju,Asiwaju,Ruger,11/14/2022,37.9,"108,133,711",34390,18.0,"122,293,855","619,448","13,992,725","173,486,714",1
Sticky,"Honestly, Nevermind",Drake,6/17/2022,37.9,"253,177,498",83779,66.0,"79,370,407","913,062","62,240,027","612,598,555",1
Mahiye Jinna Sohna Slowed + Reverb,Mahiye Jinna Sohna Lofi Remix,Darshan Raval,7/27/2023,37.9,"1,843,453",311,35.0,"1,914,601","25,616","13,668,109","236,654,614",0
hey! hey!,hey! hey! - Single,TWS,6/5/2024,37.9,"1,010,608",109,,"8,768,054","138,917",,,0
Centuries,Centuries,Fall Out Boy,9/9/2014,37.9,"1,184,571,362",180715,75.0,"829,829,470","7,984,888","28,001,951","254,037,168",0
What Makes You Beautiful,Up All Night,One Direction,1/1/2011,37.9,"1,265,397,717",175809,80.0,"1,864,674,236","16,322,948","69,075,817","437,246,025",0
Sweetest Pie,Sweetest Pie - Single,Megan Thee Stallion,3/11/2022,37.9,"359,563,711",50913,64.0,"129,735,943","1,701,169","3,216,719","35,564,746",1
Reggaetï¿½ï¿½n Lento (Baile,Primera Cita,CNCO,8/26/2016,37.9,"738,438,810",65613,67.0,"1,897,769,481","7,650,997","19,223,955","149,891,612",0
GMFU (w/ 6arelyhuman),GMFU (w/ 6arelyhuman),Odetari,7/26/2023,37.8,"199,444,237",31285,72.0,"26,054,503","411,659","26,294,743","178,981,870",1
SKITZO,UTOPIA,Travis Scott,7/28/2023,37.8,"97,901,897",49313,66.0,"12,456,826","187,457","42,159","540,963",1
Friendly Fire,Friendly Fire,Linkin Park,2/23/2024,37.8,"27,605,207",4232,8.0,"9,695,623","443,958",,,0
Niï¿½ï¿½a Bo,Niï¿½ï¿½a Bo,Feid,4/21/2023,37.8,"237,741,410",39503,61.0,"86,652,111","676,137","33,678,445","411,538,350",0
SkeeYee,Hood Hottest Princess,Sexyy Red,6/9/2023,37.8,"96,289,114",24566,67.0,"33,861,736","296,191","159,504,238","1,094,402,576",1
The Git Up,The Git Up,Blanco Brown,5/3/2019,37.8,"346,783,267",70080,61.0,"418,672,564","3,547,763","229,456,717","2,139,750,734",0
Beautiful Crazy,Beautiful Crazy,Luke Combs,5/4/2018,37.8,"828,103,564",83834,77.0,"594,679,967","2,844,786","13,757,610","122,040,522",0
